id ,Title,Authors
ind0019,PI2I: A Personalized Item-Based Collaborative Filtering Retrieval Framework,Shaoqing Wang:Alibaba Group;Yingcai Ma:Alibaba Group;Kairui Fu:Zhejiang University;Ziyang Wang:Alibaba Group;Dunxian Huang:Alibaba Group;Yuliang Yan:Alibaba Group;Jian Wu:Alibaba Group
ind0026,ARCHER: Shooting Straight in Multimodal E-Commerce Search at Alibaba with Progressive Alignment,Maolin Wang:City University of Hong Kong;Lang Fu:Alibaba International Digital Commerce Group;Jun Chu:Alibaba International Digital Commerce Group;Kai Guo:Alibaba International Digital Commerce Group;Chenjie Qin:Alibaba International Digital Commerce Group;Xinxin Wang:Alibaba International Digital Commerce Group;Siyu Wu:Alibaba International Digital Commerce Group;Wen Jiang:Alibaba International Digital Commerce Group;Xiangyu Zhao:City University of Hong Kong
ind0030,A Generative Contextual Comprehension Paradigm for Takeout Ranking Model,Ziheng Ni:JD.com;Congcong Liu:JD.com;Cai Shang:JD.com;Yiming Sun:JD.com;Junjie Li:JD.com;Zhiwei Fang:JD.com;Guangpeng Chen:JD.com;Li Jian:JD.com;Zehua Zhang:JD.com;Changping Peng:JD.COM;Zhangang Lin:JD.com;Ching Law:JD.com;Jingping Shao:JD
ind0051,Self-Evolving LLMs via Continual Instruction Tuning,"Jiazheng Kang:Beijing University of Posts and Telecommunications, Beijing University of Posts and Telecommunications;Le Huang:Beijing University of Posts and Telecommunications;Cheng Hou:Researcher;Zhe Zhao:Researcher;ZhenXiang Yan:Researcher;Ting Bai:Beijing University of Posts and Telecommunications"
ind0055,FRiskGPT: A Generative Foundation Model for Financial Risk Detection,"Zhongjian Zhang:Beijing University of Posts and Telecommunications,China Telecom Bestpay;Mengmei Zhang:China Telecom Bestpay;Dehua Xu:China Telecom Bestpay;Rongjun Shi:China Telecom Bestpay;Jianfeng Liu:China Telecom Bestpay;Fuli Meng:China Telecom Bestpay;Huajian Xu:China Telecom Bestpay;Xiao Wang:Beihang University;Ruijia Wang:China Telecom Cloud Computing Research Institute;Junze Chen:China Telecom Bestpay;Minwei Tang:China Telecom Bestpay;Chuan Shi:Beijing University of Post and Telecommunication"
ind0059,OpenDigger: A Practical Framework for Assessing Community Health and Sustainability in Open Source Collaboration Platforms,Wei Wang:East China Normal University;Fanyu Han:East China Normal University;Shengyu Zhao:Tongji University;Xuan Zhou:East China Normal University;Weining Qian:East China Normal University;Aoying Zhou:East China Normal University;Xiaoya Xia:Ant Group;Liyun Yang:China Electronics Standardization Institute;Rong Wang:Alibaba Group;Ning Jiang:Apache Software Foundation;Moming Duan:East China Normal University
ind0062,"VeritasFi: An Adaptable, Multi-tiered RAG Framework for Multi-modal Financial Question Answering","Zhenghan Tai:SimpleWay.AI;Hanwei Wu:SimpleWay.AI;Qingchen Hu:SimpleWay.AI;Jijun Chi:SimpleWay.AI;Hailin He:SimpleWay.AI;Lei Ding:University of Manitoba;Tung Sum Thomas Kwok:SimpleWay.AI;Bohuai Xiao:SimpleWay.AI;Yuchen Hua:SimpleWay.AI;Suyuchen Wang:Mila – Quebec AI Institute;Peng Lu:University of Montreal;Muzhi Li:The Chinese University of Hong Kong;Yihong Wu:University of Montreal;Liheng Ma:Mila – Quebec AI Institute;Jerry Huang:Mila – Quebec AI Institute;Jiayi Zhang:Hong Kong University of Science and Technology;Gonghao Zhang:Flab;Chaolong Jiang:SimpleWay.AI;Jingrui Tian:University of California, Los Angeles;Sicheng Lyu:McGill University;Zeyu Li:Nanyang Technological University;Boyu Han:Stanford University;Fengran Mo:University of Montreal;Xinyue Yu:University of Montreal;Yufei Cui:McGill University;Ling Zhou:CG Matrix Technology Limited;Xinyu Wang:McGill University"
ind0063,GPU-accelerated Multi-relational Parallel Graph Retrieval for Web-scale Recommendations,"Zhuoning Guo:Hong Kong University of Science and Technology (Guangzhou);Guangxing Chen:Baidu;Qian Gao:Baidu;Xiaochao Liao:Baidu;Jianjia Zheng:Baidu;Lu Shen:Baidu;Hao Liu:The Hong Kong University of Science and Technology (Guangzhou),The Hong Kong University of Science and Technology"
ind0064,LSIG: Long Semantic IDs for Generative Recommendation,"Zhao Li:Zhejiang University,Taotian Group;FengYang Qi:Taotian Group;Chuanyu Xu:Taotian Group;Tao Zhang:Taotian Group;Chengfu Huo:Taotian Group;Peng Zhang:Zhejiang University"
ind0066,A Long-term Value Prediction Framework In Video Ranking,Huabin Chen:Alibaba Group;Xinao Wang:Alibaba Group;Huiping Chu:Alibaba Group;Keqin Xu:Alibaba Group;Chenhao Zhai:Tsinghua University;Chenyi Wang:Alibaba Group;Kai Meng:Alibaba Group;Yuning Jiang:Alibaba Group
ind0067,GRank: Towards Target-Aware and Streamlined Industrial Retrieval with a Generate-Rank Framework,"Yijia Sun:Kuaishou Technology;Shanshan Huang:Kuaishou Technology;Zhiyuan Guan:Shanghai Jiaotong University,Kuaishou Technology;Qiang Luo:Kuaishou Technology;Ruiming Tang:Kuaishou Technology;Kun Gai:Unaffiliated;Guorui Zhou:Algorithm, Kuaishou Technology"
ind0081,Multi-Domain Marker Aggregation for Threat Detection in Cloud Environments,Junshen Xu:Amazon Web Services;Jiayun Zhang:Amazon Web Services;Yi Fan:Amazon Web Services
ind0082,Data-Driven Function Calling Improvements in Large Language Model for Online Financial QA,"Xing Tang:Shenzhen Technology University;Hao Chen:FiT,Tencent;Shiwei Li:Huazhong University of Science and Technology;Fuyuan Lyu:McGill University;Weijie Shi:Hong Kong University of Science and Technology;Lingjie Li:Shenzhen Technology University;Dugang Liu:Shenzhen University;Weihong Luo:FiT,Tencent;Xiku Du:FiT,Tencent;Xiuqiang He:Shenzhen Technology University"
ind0088,When Agents Trade: Live Multi-Market Trading Arena for LLM Agents,"Lingfei Qian:The FinAI;Xueqing Peng:The FinAI;Hanley Smith:PAAL AI;Yi Han:Georgia Institute of Technology;Yueru He:Columbia University;Haohang Li:Stevens Institute of Technology;Yupeng Cao:Stevens Institute of Technology;Yangyang Yu:Stevens Institute of Technology;Guojun Xiong:Harvard University;Peng Lu:University of Montreal;Yan Wang:The FinAI;Vincent Jim Zhang:DeepKin;Huan He:The FinAI;Alejandro Lopez-Lira:University of Florida;Jimin Huang:The FinAI,National Centre for Text Mining, University of Manchester;Jian-Yun Nie:University of Montreal;Sophia Ananiadou:National Centre for Text Mining, University of Manchester,Tecnologico de Monterrey"
ind0090,ARADD: An Automatic Real-World API Discovery and Deployment Framework for AI Guide Service in Baidu Map,"Fuling Wang:Thrust of Artificial Intelligence, The Hong Kong University of Science and Technology(Guangzhou);Le Zhang:Baidu Research, Baidu;Jingbo Zhou:Baidu Research, Baidu;Jindong Han:School of Artificial Intelligence, Shandong University;Ying Sun:Thrust of Artificial Intelligence, Hong Kong University of Science and Technology (Guangzhou);Chuan Qin:Department of Big Data Technology and Application Development, CNIC,Chinese Academy of Sciences;Hengshu Zhu:Department of Big Data Technology and Application Development, Computer Network Information Center,Chinese Academy of Sciences;Hui Xiong:Thrust of Artificial Intellegence, Hong Kong University of Science and Technology (Guangzhou),Department of Computer Science and Engineering, Hong Kong University of Science and Technology Hong Kong SAR"
ind0097,Hierarchical Semantic RL: Tackling the Problem of Dynamic Action Space for RL-based Recommendations,Minmao Wang:Fudan University;Xingchen Liu:Kuaishou Technology;Shijie Yi:Kuaishou Technology;Likang Wu:Tianjin University;Hongke Zhao:Tianjin University;Fei Pan:Kuaishou Technology;Qingpeng Cai:Kuaishou Technology;Peng Jiang:Kuaishou Technology
ind0103,Smart Eye: LLM-Guided Proposer-Verifier Framework for Industrial-Scale Log Anomaly Detection,"Changhua Pei:Computer Network Information Center, Chinese Academy of Sciences,Hangzhou Institute for Advanced Study, University of Chinese Academy of Sciences;Hang Cui:Computer Network Information Center, Chinese Academy of Sciences,University of the Chinese Academy of Sciences;Jingjing Li:Computer Network Information Center, Chinese Academy of Sciences;Yuxuan Li:Computer Network Information Center, Chinese Academy of Sciences;Zihan Liu:Computer Network Information Center, Chinese Academy of Sciences;Xinyuan Liao:CloudCore, Huawei Technologies Ltd;Cenjie Hu:Shenyang Institute of Automation, Chinese Academy of Sciences;Jiabao Wang:CloudCore, Huawei Technologies Ltd;Zheyuan Li:Computer Network Information Center, Chinese Academy of Sciences;Zexin Wang:Computer Network Information Center, Chinese Academy of Sciences;Haotian Si:Computer Network Information Center, Chinese Academy of Sciences;Ke Xiang:Computer Network Information Center, Chinese Academy of Sciences;Gaogang Xie:Computer Network Information Center, Chinese Academy of Sciences;Dan Pei:Tsinghua University"
ind0108,AliBoostV2: CTR-Growth Balanced Boosting Framework in Billion-Scale Recommendation Platform,Qijie Shen:Alibaba Group;Yuanchen Bei:Zhejiang University;Zihong Huang:Alibaba Group;Xixian Wang:Jinan University;Zhibo Xiao:Alibaba Group;Dimin Wang:Alibaba Group;Jialin Zhu:Alibaba Group;Yuning Jiang:Alibaba Group;Feiran Huang:Beihang University;Hao Chen:City University of Macau
ind0112,Bridging Visual Dynamics and Narrative Reasoning: Multimodal Large Language Models for Short Drama Quality Assessment,Qingyang Liu:Shanghai Jiao Tong University;Jiangtong Li:Tongji University;Zelin Peng:Shanghai Jiao Tong University;Shaobo Wang:Shanghai Jiao Tong University;Zhaohe Liao:Shanghai Jiao Tong University;Shuochen Chang:Shanghai Jiao Tong University;Bingjie Gao:Shanghai Jiao Tong University;Haonan Zhao:Shanghai Jiao Tong University;Mu Liu:ByteDance;Jidong Jiang:ByteDance;Li Niu:Shanghai Jiao Tong University
ind0115,Accurate and Efficient Personalized Query Rewriting in Baidu Search,"Xu Chu:Peking University;Angela Li:Mobile Ecosystem Group, Baidu Inc.;Jiaming Zhang:Mobile Ecosystem Group, Baidu Inc.;Wei Li:Mobile Ecosystem Group, Baidu Inc.;Zhijie Tan:Peking University;Dawei Yin:Mobile Ecosystem Group, Baidu Inc.;Shuaiqiang Wang:Mobile Ecosystem Group, Baidu Inc.;Daiting Shi:Mobile Ecosystem Group, Baidu Inc."
ind0132,URLBank: Data-Driven URL Discovery via Temporal Link Graphs,"Felipe Marineli:Roma Tre University,Meltwater Deutschland GmbH;Valerio Cetorelli:Meltwater (UK) Ltd;Valter Crescenzi:Roma Tre University;Tim Furche:Meltwater (UK) Ltd;Xiaonan Guo:Meltwater (UK) Ltd"
ind0137,BanditLP: Large-Scale Stochastic Optimization for Personalized Recommendations,Phuc Nguyen:LinkedIn;Benjamin Zelditch:LinkedIn;Joyce Chen:LinkedIn;Rohit K Patra:LinkedIn;Changshuai Wei:LinkedIn
ind0144,Aligning Query Rewriting with Human Cognition and Preference in E-Commerce Search,Ruize Ou:Alibaba Group;Kai Wang:Alibaba Group;Jianzhi Shao:Alibaba Group;Tao Zhang:Alibaba Group;Chengfu Huo:Alibaba Group
ind0149,iQ-Guard: An Effective and Noise-Resistant Framework for Graph Fraud Detection on iQIYI Platform,"Yuting Huang:School of Software, Zhejiang University;Ziquan Fang:School of Software, Zhejiang University;Zhengjie Zhou:Ant Group;Tinghui Luo:School of Software, Zhejiang University;Lu Chen:College of Computer Science and Technology, Zhejiang University;Surun Ji:iQIYI Inc;Huimei Zheng:iQIYI Inc;Mingfan Lu:iQIYI Inc;Fangshu Chen:Shanghai Polytechnic University;Yunjun Gao:College of Computer Science and Technology, Zhejiang University"
ind0154,TaoSR-AGRL: Adaptive Guided Reinforcement Learning Framework for E-commerce Search Relevance,"Jianhui Yang:Tsinghua University,Taobao & Tmall Group of Alibaba;Yiming Jin:Taobao & Tmall Group of Alibaba;Pengkun Jiao:Fudan University,Taobao & Tmall Group of Alibaba;Chenhe Dong:Taobao & Tmall Group of Alibaba;Zerui Huang:Taobao & Tmall Group of Alibaba;Shaowei Yao:Taobao & Tmall Group of Alibaba;Xiaojiang Zhou:Taobao & Tmall Group of Alibaba;Dan Ou:Taobao & Tmall Group of Alibaba;Haihong Tang:Taobao & Tmall Group of Alibaba"
ind0159,Delay-Aware Graph Neural Stochastic Differential Equations for Financial Time Series Modeling and Forecasting,"Mingjie You:Tongji University;Dawei Cheng:Tongji University;Meilin Zhang:Tongji University;Peng Zhu:Tongji University;Yuqi Liang:Seek Data Group, Emoney Inc."
ind0162,GAM: A Generative Auto-Marketing Framework in Online E-commerce Platforms,"Yuejia Dou:Gaoling School of Artificial Intelligence, Renmin University of China;Shuai Dou:Alibaba Group;Yuchao Ma:Gaoling School of Artificial Intelligence, Renmin University of China;Bingzhe Wang:Gaoling School of Artificial Intelligence, Renmin University of China;Tianyu Wang:Alibaba Group;Zhilin Zhang:Alibaba Group;Chuan Yu:Alibaba Group;Jian Xu:Alibaba Group;Qi Qi:Gaoling School of Artificial Intelligence, Renmin University of China,Beijing Key Laboratory of Research on Large Models and Intelligent Governance"
ind0163,"Make It Long, Keep It Fast: End-to-End 10k-Sequence Modeling at Billion Scale on Douyin",Lin Guan:ByteDance;Jia-Qi Yang:ByteDance;Zhishan Zhao:ByteDance;Beichuan Zhang:ByteDance;Bo Sun:ByteDance;Xuanyuan Luo:ByteDance;Jinan Ni:ByteDance;Xiaowen Li:ByteDance;Yuhang Qi:ByteDance;Zhifang Fan:ByteDance;Hangyu Wang:ByteDance;Qiwei Chen:ByteDance;Yi Cheng:ByteDance;Feng Zhang:ByteDance;Xiao Yang:ByteDance
