,,,
,,,
Paper Title,Author,Supervisor(s),Affiliation
Towards Conversational Dataset Discovery on the Web,Lisa-Yao Gan,Klaus Diepold and Elena Simperl,Technical University of Munich
Foundational Representations for Efficient Retrieval of Structured Tabular Data,Inwon Kang,Oshani Seneviratne,Rensselaer Polytechnic Institute
"Tutoring Large Language Models to be Domain-adaptive, Precise, and Safe",Somnath Banerjee,Animesh Mukherjee,Indian Institute of Technology Kharagpur
Constructing the Cycle of Mastery: LLM-Empowered Intelligent Tutoring for Programming Education,Junfeng Zhang,Jiuyang Tang and Hao Xu,"National Key Laboratory of Big Data and Decision, National University of Defense Technology"
Introducing Temporal Dynamics to Proactive Recommender Systems for Email Outreach,Čeněk Žid,Pavel Kordík and Rodrigo Alves,Czech Technical University in Prague
Can You Trust the Data Trust?,An Ning Shen,Wendy Hall and Haiming Liu,"School of Electronics and Computer Science, University of Southampton"
"LeTCC-ZK: Smooth, Verifiable Distributed Inference via Spline-Coded Computing",Ekaterina Pavlova,Alexey Frolov,Skolkovo Institute of Science and Technology
How the Web Remembers Multilingual Collective Memory on Wikipedia and in Large Language Models,H. Laurie Lawson,Brian C. Keegan and Alexandra Siegel,University of Colorado Boulder
Exploring Political Attitudes under Selective Media Consumption with Large Language Models,Upasana Dutta,Duncan Watts,"Department of Computer and Information Science, University of Pennsylvania"
Edge-Mamba: Efficient and Robust Security Evaluation for the Web of Things via Selective State Spaces,Chenchong Du,Zhaobin Li,Beijing Electronic Science and Technology Institute
