id ,Title,Authors
srp003,DOS: Dual-Flow Orthogonal Semantic IDs for Recommendation in Meituan,Junwei Yin:Meituan;Senjie Kou:Meituan;Changhao Li:Meituan;Shuli Wang:Meituan;Yinqiu Huang:Meituan;Xue Wei:Meituan;Yinhua Zhu:Meituan;Haitao Wang:Meituan;Xingxing Wang:Meituan
srp012,RASTP: Representation-Aware Semantic Token Pruning for Generative Recommendation with Semantic Identifiers,Tianyu Zhan:Zhejiang University;Kairui Fu:Zhejiang University;Zheqi Lv:Zhejiang University;Shengyu Zhang:Zhejiang University
srp035,Few-shot and Zero-shot Audience Expansion with User and Task Model Pre-training on Tabular Data,"Siwei Qiang:MYBank, Ant Group;Pengyu Li:MYBank, Ant Group;Zhe Yu:MYBank, Ant Group;Mengyao Sun:Beijing Jiaotong University;Jun Chen:MYBank, Ant Group;Bo Zheng:MYBank, Ant Group"
srp037,Learning To Generate Effective Health Advertisements,"Yuval Saadaty:Department of Computer Science, Bar Ilan University;Elad Yom-Tov:Department of Computer Science, Bar Ilan University"
srp040,Decentralized in Name Only: The Centralization of DAO Labor,Lingling Zhang:Toronto Metropolitan University;Morteza Zihayat:Toronto Metropolitan University;Ebrahim Bagheri:University of Toronto
srp062,A Reinforcement Learning Based Hyper-Parameter Generation System Guided by LLM-Powered Virtual Users,Changlin Qiu:Alibaba Group;Bang Lin:Alibaba Group;Tao Zhang:Alibaba Group;Chengfu Huo:Alibaba Group
srp064,DualGR: Generative Retrieval with Long and Short-Term Interests Modeling,"Zhongchao Yi:University of Science and Technology of China;Kai Feng:Kuaishou Technology;Xiaojian Ma:Kuaishou Technology;Yalong Wang:Kuaishou Technology;Yongqi Liu:Kuaishou Technology;Han Li:Kuaishou Technology;Zhengyang Zhou:University of Science and Technology of China,Suzhou Institute for Advanced Research, University of Science and Technology of China;Yang Wang:University of Science and Technology of China,Suzhou Institute for Advanced Research, University of Science and Technology of China"
srp106,Cascaded Verification Framework: A Progressive Approach for Mitigating Hallucinations in Large Language Models,Shu Zhou:Nanjing University;Yufei Song:Nanjing University;Jinman Leng:Nanjing University;Xin Wang:Baidu Inc.;Tao Fan:Nanjing University of Finance & Economics;Hao Wang:Nanjing University
srp136,Hidden-in-Plain-Text: A Benchmark for Social-Web Indirect Prompt Injection in RAG,Haoze Guo:University of Wisconsin - Madison;Ziqi Wei:University of Wisconsin - Madison
srp142,Activation Caching for Retrieval-Augmented Generation,"Shu Zhou:School of Information Management, Nanjing University;Yufei Song:School of Information Management, Nanjing University;Jinman Leng:School of Information Management, Nanjing University;Xin Wang:Baidu Inc.;Tao Fan:Nanjing University of Finance & Economics;Hao Wang:School of Information Management, Nanjing University"
srp145,PH-EMO: Decoding Emotions from the Brain Inward – EEG-Grounded Multimodal Reasoning with LLMs,"Kehong Liu:Department of Computer Science, Hong Kong Baptist University;Yang Liu:Department of Computer Science, Hong Kong Baptist University;Jiming Liu:Department of Computer Science, Hong Kong Baptist University"
srp152,GPR: Empowering Generation with Graph-Pretrained Retriever,Xiaochen Wang:The Pennsylvania State University;Zongyu Wu:The Pennsylvania State University;Yuan Zhong:The Pennsylvania State University;Xiang Zhang:The Pennsylvania State University;Suhang Wang:The Pennsylvania State University;Fenglong Ma:The Pennsylvania State University
srp155,Graph Discrete Prompt Optimization for Knowledge Graph Question Answering,"Wooyoung Kim:Department of Industrial Engineering, Yonsei University;Haemin Jung:Department of Industrial and Management Engineering, Korea National University of Transportation;Byeongjin Kim:Department of Industrial Engineering, Yonsei University;Suhyeon Kwon:Department of Intelligent Data and Optimization, Yonsei University;Wooju Kim:Department of Industrial Engineering, Yonsei University"
srp163,"WITHDRAWN 1/29/26, email from chairs -- Exploring Latent Preference with Interest-Guided Collaborative Expansion for Multimodal Recommendation",Jiuqiang Li:Southwest Jiaotong University;Hongjun Wang:Southwest Jiaotong University
srp168,Improving the Accuracy of Community Detection on Signed Networks via Community Refinement and Contrastive Learning,Hyunuk Shin:Chungbuk National University;Hojin Kim:Chungbuk National University;Chanyoung Lee:Chungbuk National University;Yeon-Chang Lee:Ulsan National Institute of Science and Technology;David Yoon Suk Kang:Chungbuk National University
srp182,AIMER: Affective Intention-guided Multimodal Emotion Reasoner for Visual Emotion Analysis in Social Media,Yubeen Lee:Sungkyunkwan Universtiy;Shinyu Park:Sungkyunkwan University;Jiwon Park:Sungkyunkwan Universtiy;Eunil Park:Sungkyunkwan Universtiy
srp193,SIR-Teach: Student-Implicit Reward Teaching,"Haochen You:William and Mary,Columbia University;Baojing Liu:Hebei Institute of Communications"
srp199,Generative Retrieval for E‑commerce: Jointly Learning Embedding and Codebook with Same Product Cluster,Songtao Fang:Alibaba Group;Zihao Xu:Alibaba Group;Shaowei Wei:Alibaba Group;Jin Zhang:Alibaba Group;Zhuojun Wang:Alibaba Group
srp200,Rethink Web Service Resilience in Space: A Radiation-Aware and Sustainable Transmission Solution,Long Chen:Simon Fraser University;Hao Fang:Simon Fraser University;Yi Ching Chou:Simon Fraser University;Haoyuan Zhao:Simon Fraser University;Xiaoyi Fan:Jiangxing Intelligence Inc.;Zhe Chen:Fudan University;Hengzhi Wang:Shenzhen University;Jiangchuan Liu:Simon Fraser University
srp205,Access Controlled Website Interaction for Agentic AI with Delegated Critical Tasks,Sunyoung Kim:Arizona State University;Hokeun Kim:Arizona State University
srp224,Infer As You Train: A Symmetric Paradigm of Masked Generative for Click-Through Rate Prediction,Moyu Zhang:Alibab Group;Yujun Jin:Alibaba Group;Yun Chen:Alibaba Group;Jinxin Hu:Alibaba Group;Yu Zhang:Alibaba Group;Xiaoyi Zeng:Alibaba Group
srp225,Learning Probabilistic Distributions for CTR Uncertainty,Biho Kim:Kakao Corp.
srp228,Structure Over Scale: Diagnosing Liquidity Fragility in Concentrated-Liquidity AMMs,Qiangqiang Liu:Binance;Runfa Jiang:Binance;Qian Huang:Binance;Frank Fan:Binance;Kunpeng Ren:National University of Singapore;Wei Cai:University of Washington
srp231,Fedivertex: a Graph Dataset based on Decentralized Social Media,"Marc Damie:University of Twente,Inria;Edwige Cyffers:Institute of Science and Technology Austria"
srp244,Cost Ratio Aware Algorithm for Representative Subset Selection,Tong Cheng:Nanyang Technological University;Xueyan Tang:Nanyang Technological University
srp261,Let It Try First: Uncertainty-Guided Retrieval Switching for Retrieval-Augmented Question Answering,"Xiaohai Wang:School of Software, Yunnan University;Yu Liang:School of Software, Yunnan University;Wei Zhou:School of Engineering, Yunnan University;Sixing Wu:School of Software, Yunnan University"
srp266,DiffusionGS: Generative Search with Query Conditioned Diffusion in Kuaishou,Qinyao Li:Kuaishou Technology;Xiaoyang Zheng:Kuaishou Technology;Qihang Zhao:Kuaishou Technology;Ke Xu:City University of Hong Kong;Zhongbo Sun:Kuaishou Technology;Chao Wang:Kuaishou Technology;Chenyi Lei:Kuaishou Technology;Han Li:Kuaishou Technology;Wenwu Ou:Independent
srp281,LLM Reasoning for Cold-Start Item Recommendation,Shijun Li:The University of Texas at Austin;Yu Wang:Capital One AI Foundations;Jin Wang:Netflix;Ying Li:Netflix;Joydeep Ghosh:The University of Texas at Austin;Anne Cocos:Netflix
srp282,Hierarchical Layer Attention with Contrastive Learning for Robust Audio Deepfake Detection,"Zhili Nicholas Liang:University of Melbourne;Soyeon Caren Han:School of computing and information systems, University of Melbourne;Qizhou Wang:University of Melbourne;Christopher Leckie:University of Melbourne"
srp284,Online Bidding Algorithms with Strict Return on Spend (ROS) Constraint,"Rahul Vaze:School of Technology and Computer Science, Tata Institute of Fundamental Research Mumbai;Abhishek Sinha:School of Technology and Computer Science, Tata Institute of Fundamental Research Mumbai"
srp288,OMGRec: One-time Matching-based Generative Rerank with Permutation-level Modeling in E-commerce,"Junwei Xu:Shenzhen Key Laboratory of Ubiquitous Data Enabling, Shenzhen International Graduate School, Tsinghua University;Zhibo Xiao:Taobao & Tmall Group of Alibaba;Chuxin Chen:Taobao & Tmall Group of Alibaba;Chengyu Lai:Taobao & Tmall Group of Alibaba;Qijie Shen:Taobao & Tmall Group of Alibaba;Jiuning Lin:Taobao & Tmall Group of Alibaba;Dimin Wang:Taobao & Tmall Group of Alibaba;Jialin Zhu:Taobao & Tmall Group of Alibaba;Xiao-Ping Zhang:Shenzhen Key Laboratory of Ubiquitous Data Enabling, Shenzhen International Graduate School, Tsinghua University"
