wk0000i,Workshops at the ACM Web Conference 2026,Mohamed Reda Bouadjenek:Deakin University;Danai Koutra:University of Michigan
wk0100i,1st Workshop on Applied AI and Multimodal Visualization Technologies,"Cesar Sanin:Information Technology, International College of Management Sydney;Edward Szczerbicki:Gdansk University of Technology;Md Rafiqul Islam:Charles Darwin University"
wk0104,VOICY: A Privacy-Centric Modular Architecture for Zero-Shot Voice Cloning and Fine-Tuned Speech Synthesis,"Kushal Pokhrel:Business Information Systems, Australian Institute of Higher Education;Cesar Sanin:Information Technology, International College of Management Sydney;Md Kowsar Hossain Sakib:Taylor’s University;Edward Szczerbicki:Gdansk University of Technology"
wk0169,Bridging the Semantic Gap: A Homonym-Aware Ontology Platform for Cybersecurity Interoperability,"A B M Mehedi Hasan:School of Science and Technology, University of New England (AU);Ljiljana Brankovic:School of Science and Technology, University of New England (AU);Cesar Sanin:School of Science and Technology, University of New England (AU);David Paul:School of Science and Technology, University of New England (AU)"
wk0170,Spatial-Temporal Inference of Indoor RSSI and CQI for 3D Coverage Mapping using Dynamic Graph Attention Networks,"David Hason Rudd:Faculty of Engineering and Information Technology, University of Technology Sydney;A B M Mehedi Hasan:School of Science and Technology, University of New England (AU);Johan Sebastian Ramirez Vallejo:Australian Institute of Higher Education;Md. Rafiqul Islam:Faculty of Science and Technology, Charles Darwin University;Andrew Levula:Information Technology, Excelsia University College;Cesar Sanin:University of New England"
wk0171,Viet Medi Species 2026: A Web-Accessible Multilingual Dataset for Vietnamese Medicinal Biodiversity,Trien Phat Tran:The University of New England;Fareed Ud Din:The University of New England;Ljiljana Brankovic:The University of New England;Cesar Sanin:The University of New England;Susan M Hester:The University of New England
wk0174,From Dead Pixels to Editable Slides,"Leonardo Gonzalez:AI Center of Excellence, Trilogy"
wk0182,Robust Harmful Meme Detection under Missing Modalities via Shared Representation Learning,"Felix Breiteneder:Johannes Kepler University;Mohammad Belal:Aalto University;Muhammad Saad Saeed:University of Michigan;Shahed Masoudian:Johannes Kepler University;Usman Naseem:Macquarie University;Kulshrestha Juhi:Aalto University;Markus Schedl:Johannes Kepler University,Linz Institute of Technology;Shah Nawaz:Johannes Kepler University"
wk0200i,AiOfAi: 4th Workshop on Adverse Impacts and Collateral Effects of Artificial Intelligence Technologies,Esma Aïmeur:Université de Montréal;Rim Ben Salem:Polytechnique Montréal;Dorsaf Sallami:Université de Montréal;Julita Vassileva:University of Saskatchewan;Nora Boulahia-Cuppens:Polytechnique Montréal
wk0201,Prompt Scene Investigation: Uncovering the Evidence in LLMs,Lidaw Fabrice Ledjaki:Université de Montréal;Yuan-Chen Chang:Université de Montréal;Mohamed Loutis:Université de Montréal;Esma Aïmeur:Université de Montréal
wk0202s,DEMO: Ontology-Based Automated Security Analysis for AI Systems and Applications,Jonathan Roy:Université du Québec à Chicoutimi;Lina Rashdan:The George Washington University;Fehmi Jaafar:Université du Québec à Chicoutimi
