"Status as of March 5 ,2026",
Confirmed - ,1. Temporal Information Retrieval And Question Answering in the Age of LLMs
Confirmed - ,2. Out-of-distribution Generalized Generative AI
Confirmed - ,3. Towards a Responsible Web: Economic Perspectives on Fairness in Information Retrieval
Confirmed - ,4. Next-Gen Code Development with Collaborative AI Agents
Confirmed - ,"5. LLM-Enhanced Web-Centric Spatio-Temporal Intelligence: Methods, Applications, and Frontier Research"
Confirmed -,"6. Quantum-Safe, Efficient, and AI-Enhanced Blockchains for the Web: A Cooperative Tutorial on Quantum Computing, Blockchain Applications, and Data Standards"
Confirmed - ,7. Conversational Search: From Fundamentals to Frontiers in the Age of Agents
Pending additional registrations -,8. Learning Collaborative Teams via Social Information Retrieval (Lecture-style Tutorial)
Confirmed - ,"9. Bandits, LLMs, and Agentic Web"
Pending additional registrations -,10. Unstructured to Structured: Building Knowledge Graphs from Documents for Web Applications
Confirmed - ,"11. Foundations for the Agentic Web: Infrastructure, Economics, and Society"
Confirmed - ,"12. Generalist Model for Structured Data: Foundations, Frontiers and Applications"
Confirmed - ,"13. Robust Graph Learning on the Web: Challenges, Methods, and Applications"
Pending additional registrations -,"14. Responsible Prompting on the Web: Governance, Mini-Evaluation, and Readiness with ChatGPT"
